OriginalWord,PerturbWord,OriginalLabel,Misclassify,LengthOrig,LengthPert,SentimentOrig,SentimentPert,SyllableOrig,SyllablePert,SubjectivityOrig,SubjectivityPert
being,continuing,Ham,No,5,10,0.0,0.0,2,4,0.0,0.0
to,into,Ham,No,2,4,0.0,0.0,1,2,0.0,0.0
a,another,Ham,No,1,7,0.0,0.0,1,3,0.0,0.0
089,078,Spam,Yes,3,3,0.0,0.0,1,1,0.0,0.0
1.,3.,Spam,Yes,2,2,0.0,0.0,1,1,0.0,0.0
3.,2.,Spam,Yes,2,2,0.0,0.0,1,1,0.0,0.0
4.,3.,Spam,Yes,2,2,0.0,0.0,1,1,0.0,0.0
5.,4.,Spam,Yes,2,2,0.0,0.0,1,1,0.0,0.0
2,2.,Spam,Yes,1,2,0.0,0.0,1,1,0.0,0.0
083,089,Spam,Yes,3,3,0.0,0.0,1,1,0.0,0.0
...,....,Spam,Yes,3,4,0.0,0.0,0,0,0.0,0.0
1.,2.,Spam,Yes,2,2,0.0,0.0,1,1,0.0,0.0
3.,2.,Spam,Yes,2,2,0.0,0.0,1,1,0.0,0.0
used,utilized,Spam,Yes,4,8,0.0,0.0,1,2,0.0,0.0
found,detected,Spam,Yes,5,8,0.0,0.0,1,3,0.0,0.0
amongst,among,Spam,Yes,7,5,0.0,0.0,1,1,0.0,0.0
peoples,populations,Spam,Yes,7,11,0.0,0.0,2,4,0.0,0.0
of,among,Spam,Yes,2,5,0.0,0.0,1,1,0.0,0.0
oldest,longest,Spam,Yes,6,7,0.0,0.0,2,2,0.0,0.0
"20,000",20.000,Spam,Yes,6,6,0.0,0.0,1,1,0.0,0.0
origins,origines,Spam,Yes,7,8,0.0,0.0,2,2,0.0,0.0
recognizable,recognisable,Spam,Yes,12,12,0.25,0.0,4,3,0.25,0.0
thrown,pelted,Spam,Yes,6,6,0.0,0.0,1,2,0.0,0.0
travels,trips,Spam,Yes,7,5,0.0,0.0,2,1,0.0,0.0
and,nor,Spam,Yes,3,3,0.0,0.0,1,1,0.0,0.0
than,after,Spam,Yes,4,5,0.0,0.0,1,2,0.0,0.0
10,10:00,Spam,Yes,2,5,0.0,0.0,1,1,0.0,0.0
from,among,Spam,Yes,4,5,0.0,0.0,1,1,0.0,0.0
largest,most,Spam,Yes,7,4,0.0,0.5,1,1,0.0,0.5
not,n't,Spam,Yes,3,3,0.0,0.0,1,1,0.0,0.0
tribes,tribals,Spam,Yes,6,7,0.0,0.0,1,2,0.0,0.0
in,at,Spam,Yes,2,2,0.0,0.0,1,1,0.0,0.0
lived,resided,Spam,Yes,5,7,0.0,0.0,1,2,0.0,0.0
endurance,perseverance,Spam,Yes,9,12,0.0,0.0,2,4,0.0,0.0
below,underneath,Spam,Yes,5,10,0.0,0.0,2,3,0.0,0.0
is,becomes,Spam,Yes,2,7,0.0,0.0,1,2,0.0,0.0
connected,plugged,Spam,Yes,9,7,0.0,0.0,3,1,0.0,0.0
lift,levage,Spam,Yes,4,6,0.0,0.0,1,2,0.0,0.0
pattern,modality,Spam,Yes,7,8,0.0,0.0,2,3,0.0,0.0
is,becomes,Spam,Yes,2,7,0.0,0.0,1,2,0.0,0.0
